year,total,country,players,percentage,latitude,longitude
2014,736,Cameroon,2,0.27,7.369722,12.354722
2014,736,Chile,5,0.68,-35.675147,-71.542969
2014,736,China,6,0.82,35.86166,104.195397
2014,736,Colombia,4,0.54,4.570868,-74.297333
2014,736,Costa Rica,10,1.36,9.748917,-83.753428
2014,736,Croatia,5,0.68,45.1,15.2
2014,736,Denmark,1,0.14,56.26392,9.501785
2014,736,Ecuador,8,1.09,-1.831239,-78.183406
2014,736,England,120,16.3,52.561667,-1.464722
2014,736,France,45,6.11,46.227638,2.213749
2014,736,Germany,77,10.46,51.165691,10.451526
2014,736,Ghana,1,0.14,7.946527,-1.023194
2014,736,Greece,13,1.77,39.074208,21.824312
2014,736,Honduras,11,1.49,15.199999,-86.241905
2014,736,Hungary,1,0.14,47.162494,19.503304
2014,736,Iran,14,1.9,32.427908,53.688046
2014,736,Israel,2,0.27,31.046051,34.851612
2014,736,Italy,82,11.14,41.87194,12.56738
2014,736,Ivory Coast,1,0.14,7.539989,-5.54708
2014,736,Japan,15,2.04,36.204824,138.252924
2014,736,Kuwait,1,0.14,29.31166,47.481766
2014,736,Mexico,25,3.4,23.634501,-102.552784
2014,736,Netherlands,20,2.72,52.132633,5.291266
2014,736,Nigeria,4,0.54,9.081999,8.675277
2014,736,Norway,6,0.82,60.472024,8.468946
2014,736,Paraguay,1,0.14,-23.442503,-58.443832
2014,736,Portugal,23,3.13,39.399872,-8.224454
2014,736,Qatar,3,0.41,25.354826,51.183884
2014,736,Russia,34,4.62,61.52401,105.318756
2014,736,Saudi Arabia,1,0.14,23.885942,45.079162
2014,736,South Africa,2,0.27,-30.559482,22.937506
2014,736,South Korea,7,0.95,35.907757,127.766922
2014,736,Scotland,4,0.54,56.816722,-4.183889
2014,736,Spain,64,8.7,40.463667,-3.74922
2014,736,Sweden,2,0.27,60.128161,15.643501
2014,736,Switzerland,12,1.63,46.818188,8.227512
2014,736,Tunisia,2,0.27,33.886917,9.537499
